id,name,description,type
-1,Pants,"A wearable pair of pants.",Pants
-2,Shirt,"A wearable shirt.",Shirt
0,Farmer Pants,"Comfortable and durable for long hours in the field.",Pants
1,Shorts,"Perfect for a hot summer's day... your legs will thank you.",Pants
2,Dress,"A long, flowy dress.",Pants
3,Skirt,"A cute skirt.",Pants
4,Pleated Skirt,"A cute pleated skirt.",Pants
5,Dinosaur Pants,"These pants were thought to have gone extinct a long time ago!",Pants
6,Grass Skirt,"A skirt made of dried grass.",Pants
7,Luau Skirt,"A skirt destined to make you the 'luau' the party!",Pants
8,Genie Pants,"Pants that balloon out near the bottom. Your wish has been answered!",Pants
9,Tight Pants,"A very tight pair of pants.",Pants
10,Baggy Pants,"A loose pair of pants.",Pants
11,Simple Dress,"A soft, smooth, medium length dress.",Pants
12,Relaxed Fit Pants,"These pants have a little more room for the legs.",Pants
13,Relaxed Fit Shorts,"These shorts have a little more room for the legs.",Pants
14,Polka Dot Shorts,"Whoops!",Pants
15,Trimmed Lucky Purple Shorts,"Purple silk shorts trimmed in luxurious gold...",Pants
998,Prismatic Pants,"Pants that shimmer with prismatic energy.",Pants/Prismatic
999,Prismatic Genie Pants,"Pants that shimmer with prismatic energy.",Pants/Prismatic
1000,Classic Overalls,"A farming classic.",Shirt
1002,Mint Blouse,"A cute, light green blouse.",Shirt
1003,Dark Shirt,"A dark colored shirt.",Shirt
1004,Skull Shirt,"A shirt with a menacing skull printed on it.",Shirt
1005,Light Blue Shirt,"A light blue shirt.",Shirt
1006,Tan Striped Shirt,"A tan shirt with a white stripe going through the middle of it.",Shirt
1007,Green Overalls,"A slightly less popular farming classic.",Shirt
1008,Good Grief Shirt,"A good ol' shirt...",Shirt
1009,Aquamarine Shirt,"An aquamarine shirt.",Shirt
1010,Suit Top,"A formal top for fancy events and celebrations.",Shirt
1011,Green Belted Shirt,"A green, belted shirt.",Shirt
1012,Lime Green Striped Shirt,"A lime green shirt with white stripes.",Shirt
1013,Red Striped Shirt,"A red shirt with white stripes.",Shirt
1014,Skeleton Shirt,"A shirt with a skeletal rib cage printed on it.",Shirt
1015,Orange Shirt,"An orange shirt.",Shirt
1016,Night Sky Shirt,"A shirt that reminds you of the night sky.",Shirt
1017,Mayoral Suspenders,"A pair of suspenders that looks awfully familiar...",Shirt
1018,Brown Jacket,"A nice, sturdy jacket made of brown material.",Shirt
1019,Sailor Shirt,"Reminds you of the open sea.",Shirt
1020,Green Vest,"A neat green vest over a shirt.",Shirt
1021,Yellow and Green Shirt,"A yellow shirt with a green stripe.",Shirt
1026,Light Blue Striped Shirt,"A light blue shirt with a white stripe.",Shirt
1027,Pink Striped Shirt,"A pink shirt with stripes.",Shirt
1028,Heart Shirt,"Wear your heart on your sleeves with this extra soft garment.",Shirt
1029,Work Shirt,"For long days in the fields.",Shirt
1030,Store Owner's Jacket,"A jacket that looks like it'd be worn by a small town merchant.",Shirt
1034,Green Tunic,"A shirt fit for an adventurer.",Shirt
1035,Fancy Red Blouse,"A bright red blouse adorned with shiny yellow buttons.",Shirt
1038,Plain Shirt,"A simple shirt.",Shirt
1039,Retro Rainbow Shirt,"A simple shirt with a faded rainbow pattern.",Shirt
1042,Lime Green Tunic,"A bright green tunic with a belt.",Shirt
1087,Neat Bow Shirt,"A neat button down shirt with a prominent bow tie.",Shirt
1123,Shirt And Tie,"A white dress shirt and a tie.",Shirt
1127,Emily's Magic Shirt,"Made with love by Emily. Colored with all-natural dye!",Shirt
1128,Striped Shirt,"It's a shirt with faint stripes on it.",Shirt
1129,Tank Top,"A sleeveless shirt.",Shirt/Sleeveless
1131,Cowboy Poncho,"A legendary outfit from the old west.",Shirt
1132,Crop Tank Top,"A sleeveless shirt cut extra short on the bottom.",Shirt/Sleeveless
1134,Bikini Top,"A summer staple.",Shirt/Sleeveless
1135,Wumbus Shirt,"A shirt featuring a strange green guy.",Shirt
1136,80's Shirt,"A gnarly t-shirt that sits off the shoulder.",Shirt
1137,Letterman Jacket,"A jacket that's oozing with team spirit.",Shirt
1138,Black Leather Jacket,"A cool jacket made of dark black leather.",Shirt
1139,Strapped Top,"A top with a thin strap.",Shirt/Sleeveless
1140,Button Down Shirt,"A simple, clean shirt.",Shirt
1141,Crop Top Shirt,"A shirt cut extra short on the bottom.",Shirt
1142,Tube Top,"A strapless top that wraps around the body.",Shirt/Sleeveless
1143,Tye Die Shirt,"A shirt that was tied up and then dipped into multiple colored dyes.",Shirt
1148,Steel Breastplate,"Decorative armor made from steel.",Shirt
1149,Copper Breastplate,"Decorative armor made from copper.",Shirt
1150,Gold Breastplate,"Decorative armor made from solid gold.",Shirt
1151,Iridium Breastplate,"Decorative armor made from pure iridium.",Shirt
1153,Fake Muscles Shirt,"You could hit the gym, or you could just wear this instead.",Shirt
1154,Flannel Shirt,"A nice thick button down shirt with a cross-hatch pattern. Perfect for cold winters.",Shirt
1155,Bomber Jacket,"A thick, sturdy jacket worn by fighter pilots long ago.",Shirt
1156,Caveman Shirt,"A stone-age classic!",Shirt/Sleeveless
1157,Fishing Vest,"Lots of pockets to store your tackle.",Shirt
1158,Fish Shirt,"A shirt with a fish logo.",Shirt
1159,Shirt And Belt,"A plain shirt with a brown belt.",Shirt
1160,Gray Hoodie,"A sporty gray pullover with a hood.",Shirt
1161,Blue Hoodie,"A sporty blue pullover with a hood.",Shirt
1162,Red Hoodie,"A sporty red pullover with a hood.",Shirt
1163,Denim Jacket,"A rugged jacket made from denim.",Shirt
1164,Track Jacket,"A light jacket made from elastic material.",Shirt
1165,White Gi,"A loose garment typically worn by martial artists.",Shirt
1166,Orange Gi,"A loose garment typically worn by martial artists.",Shirt/Sleeveless
1167,Gray Vest,"A gray vest over a white shirt.",Shirt/Shirt
1168,Kelp Shirt,"It looks like you just washed up on the beach. Smells like it, too.",Shirt/Sleeveless
1169,Studded Vest,"A black vest studded with metal spikes.",Shirt/Sleeveless
1170,Gaudy Shirt,"It's a therapeutic blue...",Shirt/Shirt
1171,Oasis Gown,"The jewel of the desert.",Shirt/Sleeveless
1172,Blacksmith Apron,"Handed down from one generation to the next.",Shirt
1173,Neat Bow Shirt,"A neat button down shirt with a prominent bow tie.",Shirt
1174,High-Waisted Shirt,"The high-waisted pants look, with a dyeable bottom.",Shirt
1175,High-Waisted Shirt,"The high-waisted jeans look, with a dyeable top.",Shirt
1176,Basic Pullover,"It's a plain pullover.",Shirt
1178,Turtleneck Sweater,"Keep that neck piping hot.",Shirt
1179,Iridium Energy Shirt,"Show off your iridium energy.",Shirt
1180,Tunnelers Jersey,"It's a jersey for the Zuzu City Tunnelers.",Shirt
1183,Gray Suit,"It's a custom-tailored gray suit.",Shirt
1184,Red Tuxedo,"An elegant top for formal events.",Shirt
1185,Navy Tuxedo,"An elegant top for formal events.",Shirt
1186,Holiday Shirt,"Celebrate the Feast of the Winter Star.",Shirt
1187,Leafy Top,"Real leaves adorn this garment.",Shirt
1188,Goodnight Shirt,"A big baggy nightshirt with a detailed moon graphic.",Shirt
1189,Green Belted Shirt,"A green shirt with a belt.",Shirt
1190,Happy Shirt,"It's the happiest shirt.",Shirt
1191,Shirt with Bow,"This shirt comes with a little bow around the neck.",Shirt
1192,Jester Shirt,"Put your inner clown on display.",Shirt
1193,Ocean Shirt,"The shirt looks like underwater ripples.",Shirt
1194,Dark Striped Shirt,"A dark shirt with colorful stripes.",Shirt
1195,Bandana Shirt,"A shirt with a bandana that keeps your neck very clean.",Shirt
1196,Backpack Shirt,"A plain shirt with a canvas backpack.",Shirt
1197,Purple Blouse,"A stunning purple blouse.",Shirt
1198,Vintage Polo,"It's faded from age and smells like old closet.",Shirt
1199,Toga Shirt,"It's an old design, but the airflow is really nice!",Shirt/Sleeveless
1200,Star Shirt,"The star is supposed to glow in the dark, but it doesn't.",Shirt
1201,Classy Top,"It feels like the softest velvet.",Shirt
1203,Bandana Shirt,"A shirt with a bandana to shield your neck from harm.",Shirt
1204,Vacation Shirt,"It's a tourist shirt from the Fern Islands.",Shirt
1205,Green Thumb Shirt,"It comes pre-rubbed with potting soil.",Shirt
1206,Bandana Shirt,"A shirt with a bandana to keep your neck soft.",Shirt
1207,Slime Shirt,"A shirt that looks like a big slime.",Shirt
1208,Excavator Shirt,"Look sharp while digging for fossils.",Shirt
1209,Sports Shirt,"Knock it out of the park with this classic look.",Shirt
1210,Heart Shirt,"Wear your heart on your sleeves with this extra soft garment.",Shirt
1211,Dark Jacket,"A dark denim jacket lined with fleece.",Shirt
1212,Sunset Shirt,"A shirt inspired by the most evocative time of day.",Shirt
1213,Chef Coat,"The traditional uniform of a head chef.",Shirt
1214,Shirt O' The Sea,"It smells like the brine of the sea.",Shirt
1215,Arcane Shirt,"You can feel a certain power from this garment.",Shirt
1216,Plain Overalls,"Classic overalls with a shirt that can be dyed.",Shirt
1217,Sleeveless Overalls,"Classic overalls with a sleeveless shirt that can be dyed.",Shirt/Sleeveless
1071,White Overalls Shirt,"Classic overalls with a white shirt and belt.",Shirt
1218,Cardigan,"A soft button-up cardigan sweater.",Shirt
1219,Yoba Shirt,"A shirt featuring a prominent 'sign of the vessel'.",Shirt
1220,Necklace Shirt,"A shirt with a gold necklace.",Shirt
1221,Belted Coat,"A velvety black coat with a prominent belt.",Shirt
1222,Gold Trimmed Shirt,"A shirt with a gold trim.",Shirt
1223,Prismatic Shirt,"It's shimmering with prismatic energy.",Shirt/Prismatic
1224,Pendant Shirt,"A shirt with a big pendant.",Shirt
1225,High Heat Shirt,"The shirt almost looks like it's on fire!",Shirt
1226,Flames Shirt,"Look cool with hot flames.",Shirt
1227,Antiquity Shirt,"A shirt with an ancient pattern.",Shirt
1228,Soft Arrow Shirt,"A soft-colored shirt with an upward arrow pattern.",Shirt
1229,Doll Shirt,"A shirt featuring a strange ancient doll face.",Shirt
1230,Jewelry Shirt,"A shirt with a simple golden chain.",Shirt
1231,Canvas Jacket,"A brown jacket with a fleece lining.",Shirt
1232,Trash Can Shirt,"You're wearing a trash can.",Shirt/Sleeveless
1233,Rusty Shirt,"It's made to look like the shirt is full of rust.",Shirt
1234,Circuitboard Shirt,"The shirt looks like an electronics circuitboard.",Shirt
1235,Fluffy Shirt,"It's fuzzy.",Shirt
1236,Sauce-Stained Shirt,"It's already covered in spaghetti sauce so you don't have to feel guilty about it!",Shirt
1237,Brown Suit,"It's a standard brown business suit.",Shirt
1238,Golden Shirt,"It's a shiny golden shirt.",Shirt
1239,Captain's Uniform,"The classic uniform of a ship's captain.",Shirt
1240,Officer Uniform,"The classic uniform for an officer of the law.",Shirt
1241,Ranger Uniform,"The classic uniform for a park ranger.",Shirt
1242,Blue Long Vest,"A long blue vest above a grey shirt.",Shirt/Sleeveless
1243,Regal Mantle,"A regal purple garment",Shirt
1244,Relic Shirt,"I found a golden relic and I've got the shirt to prove it!",Shirt
1245,Bobo Shirt,"A pink shirt featuring a strange-looking guy.",Shirt
1246,Fried Egg Shirt,"Wake up, it's time for eggs.",Shirt
1247,Burger Shirt,"Wear what you eat!",Shirt
1248,Collared Shirt,"A shirt with a starchy white collar.",Shirt
1249,Toasted Shirt,"It looks lightly toasted.",Shirt
1250,Carp Shirt,"A big carp head adorns the front.",Shirt
1251,Red Flannel Shirt,"A flannel shirt with a red and blue pattern.",Shirt
1252,Tortilla Shirt,"A shirt that looks like the surface of a tortilla.",Shirt
1253,Warm Flannel Shirt,"A flannel shirt with a warm brown and rose color.",Shirt
1254,Sugar Shirt,"It's bursting with 'sweet energy'.",Shirt
1255,Green Flannel Shirt,"A flannel shirt with a green and brown pattern.",Shirt
1256,Oil Stained Shirt,"It's already stained with oil for that greasy look.",Shirt/Sleeveless
1257,Morel Shirt,"This shirt features the iconic spring mushroom.",Shirt
1258,Spring Shirt,"It's light, it's fresh, and it features the colors of spring.",Shirt
1259,Sailor Shirt,"Reminds you of the open sea.",Shirt
1260,Rain Coat,"The classic yellow rain coat.",Shirt
1261,Sailor Shirt,"Unlike most sailor shirts, this one has a dyeable body and a white collar.",Shirt
1262,Dark Bandana Shirt,"A dark shirt with a colorful bandana.",Shirt
1263,Dark Highlight Shirt,"A dark shirt with bright highlights.",Shirt
1264,Omni Shirt,"It's speckled with rainbow flecks!",Shirt
1265,Bridal Shirt,"A beautiful white top, perfect for a bride.",Shirt
1266,Brown Overalls,"It's hard to see the dirt stains on this one.",Shirt
1267,Orange Bow Shirt,"A striped orange shirt with a big white bow.",Shirt
1268,White Overalls,"A nice clean variant of the classic farmer look.",Shirt
1269,Pour-Over Shirt,"A familiar zig-zag pattern adorns this shirt. Ahhh... that smell.",Shirt
1270,Green Jacket Shirt,"Inspired by the mallard's coat. The shirt can be dyed.",Shirt
1271,Short Jacket,"A short dyeable jacket over a shirt.",Shirt
1272,Polka Dot Shirt,"A dark shirt with dyeable polka dots.",Shirt
1273,White Dot Shirt,"A dyeable shirt with white polka dots.",Shirt
1274,Camo Shirt,"Helps you blend in with the surroundings.",Shirt
1275,Dirt Shirt,"You'll fit right in on the farm!",Shirt
1276,Crab Cake Shirt,"Pre-slathered with aioli for your enjoyment. Bon Appetit!",Shirt
1277,Silky Shirt,"It's made from a smooth silky substance.",Shirt
1278,Blue Buttoned Vest,"It's a blue shirt with dyeable sleeves.",Shirt
1279,Faded Denim Shirt,"It's a denim shirt with a dusty, faded look.",Shirt
1280,Red Buttoned Vest,"It's a red shirt with dyeable sleeves.",Shirt
1281,Green Buttoned Vest,"It's a green shirt with dyeable sleeves.",Shirt
1282,Tomato Shirt,"A shirt that answers the big question: 'Tomatoes are'... (but the rest is smudged).",Shirt/Sleeveless
1283,Fringed Vest,"A fringed brown vest over a sleeveless shirt.",Shirt/Sleeveless
1284,Globby Shirt,"It's got an indistinguishable glob pattern.",Shirt
1285,Midnight Dog Jacket,"It's dyed a deep midnight blue from squid ink.",Shirt
1286,Shrimp Enthusiast Shirt,"For those whose appetites demand a steady supply of shrimp.",Shirt
1287,Tea Shirt,"A shirt inspired by the popular beverage.",Shirt
1288,Trinket Shirt,"A shirt with large colored glass orbs attached to it.",Shirt
1289,Darkness Suit,"A black suit top with a faded red pocket square.",Shirt
1290,Mineral Dog Jacket,"It's infused with trace minerals from the ocean.",Shirt
1291,Magenta Shirt,"This particular shade is unique to the magma cap mushroom.",Shirt
1292,Ginger Overalls,"The color scheme is inspired by ginger ale.",Shirt
1293,Banana Shirt,"Consider this shirt, if you happen to love bananas.",Shirt
1294,Yellow Suit,"It's a bold statement to wear this suit.",Shirt
1295,Hot Pink Shirt,"A silky shirt in tropical pink.",Shirt
1296,Tropical Sunrise Shirt,"This shirt smells like coconut.",Shirt
1297,Island Bikini,"A Fern Islands classic.",Shirt/Sleeveless
1997,Magic Sprinkle Shirt,"A shirt with prismatic sprinkles.",Shirt/Prismatic
1998,Prismatic Shirt,"It's shimmering with prismatic energy. Has dark sleeves.",Shirt/Prismatic
1999,Prismatic Shirt,"It's shimmering with prismatic energy. Has white sleeves.",Shirt/Prismatic