id,name,category,description
0,Weeds,Basic,"A bunch of obnoxious weeds."
2,Stone,Basic,"A useful material when broken with the Pickaxe."
4,Stone,Basic,"A useful material when chopped with the axe."
16,Wild Horseradish,Basic -81,"A spicy root found in the spring."
18,Daffodil,Basic -81,"A traditional spring flower that makes a nice gift."
20,Leek,Basic -81,"A tasty relative of the onion."
22,Dandelion,Basic -81,"Not the prettiest flower, but the leaves make a good salad."
24,Parsnip,Basic -75,"A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients."
30,Lumber,Basic,"A versatile resource used for building and fuel."
60,Emerald,Minerals -2,"A precious stone with a brilliant green color."
62,Aquamarine,Minerals -2,"A shimmery blue-green gem."
64,Ruby,Minerals -2,"A precious stone that is sought after for its rich color and beautiful luster."
66,Amethyst,Minerals -2,"A purple variant of quartz."
68,Topaz,Minerals -2,"Fairly common but still prized for its beauty."
70,Jade,Minerals -2,"A pale green ornamental stone."
71,Trimmed Lucky Purple Shorts,Quest,"Purple silk shorts trimmed in luxurious gold..."
72,Diamond,Minerals -2,"A rare and valuable gem."
74,Prismatic Shard,Minerals -2,"A very rare and powerful substance with unknown origins."
75,Stone,Basic,"..."
76,Stone,Basic,"..."
77,Stone,Basic,"..."
78,Cave Carrot,Basic -81,"A starchy snack found in caves. It helps miners work longer."
79,Secret Note,asdf,"It's old and crumpled, but if you look closely you can make out the details..."
80,Quartz,Minerals -2,"A clear crystal commonly found in caves and mines."
82,Fire Quartz,Minerals -2,"A glowing red crystal commonly found near hot lava."
84,Frozen Tear,Minerals -2,"A crystal fabled to be the frozen tears of a yeti."
86,Earth Crystal,Minerals -2,"A resinous substance found near the surface."
88,Coconut,Basic -79,"A seed of the coconut palm. It has many culinary uses."
90,Cactus Fruit,Basic -79,"The sweet fruit of the prickly pear cactus."
92,Sap,Basic -81,"A fluid obtained from trees."
93,Torch,Crafting,"Provides a modest amount of light."
94,Spirit Torch,Crafting,"It's unclear where the blue color comes from..."
95,Stone,Basic,"Contains radioactive ore"
96,Dwarf Scroll I,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a red bow."
97,Dwarf Scroll II,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a green ribbon."
98,Dwarf Scroll III,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a blue rope."
99,Dwarf Scroll IV,Arch,"A yellowed scroll of parchment filled with dwarven script. This one's tied with a golden chain."
100,Chipped Amphora,Arch,"An ancient vessel made of ceramic material. Used to transport both dry and wet goods."
101,Arrowhead,Arch,"A crudely fashioned point used for hunting."
102,Lost Book,asdf,"Writings from a wide variety of time periods."
103,Ancient Doll,Arch,"An ancient doll covered in grime. This doll may have been used as a toy, a decoration, or a prop in some kind of ritual."
104,Elvish Jewelry,Arch,"Dirty but still beautiful. On the side is a flowing script thought by some to be the ancient language of the elves. No Elvish bones have ever been found."
105,Chewing Stick,Arch,"Ancient people chewed on these to keep their teeth clean."
106,Ornamental Fan,Arch,"This exquisute fan most likely belonged to a noblewoman. Historians believe that the valley was a popular sixth-era vacation spot for the wealthy."
107,Dinosaur Egg,Arch,"A giant dino egg... The entire shell is still intact!"
108,Rare Disc,Arch,"A heavy black disc studded with peculiar red stones. When you hold it, you're overwhelmed with a feeling of dread."
109,Ancient Sword,Arch,"It's the remains of an ancient sword. Most of the blade has turned to rust, but the hilt is very finely crafted."
110,Rusty Spoon,Arch,"A plain old spoon, probably ten years old. Not very interesting."
111,Rusty Spur,Arch,"An old spur that was once attached to a cowboy's boot. People must have been raising animals in this area for many generations."
112,Rusty Cog,Arch,"A well preserved cog that must have been part of some ancient machine. This could be dwarven technology."
113,Chicken Statue,Arch,"It's a statue of a chicken on a bronze base. The ancient people of this area must have been very fond of chickens."
114,Ancient Seed,Arch,"It's a dry old seed from some ancient plant. By all appearances it's long since dead..."
115,Prehistoric Tool,Arch,"Some kind of gnarly old digging tool."
116,Dried Starfish,Arch,"A starfish from the primordial ocean. It's an unusually pristine specimen!"
117,Anchor,Arch,"It may have belonged to ancient pirates."
118,Glass Shards,Arch,"A mixture of glass shards smoothed by centuries of ocean surf. These could have belonged to an ancient mosaic or necklace."
119,Bone Flute,Arch,"It's a prehistoric wind instrument carved from an animal's bone. It produces an eerie tone."
120,Prehistoric Handaxe,Arch,"One of the earliest tools employed by humans. This \"
121,Dwarvish Helm,Arch,"It's one of the helmets commonly worn by dwarves. The thick metal plating protects them from falling debris and stalactites."
122,Dwarf Gadget,Arch,"It's a piece of the advanced technology once known to the dwarves. It's still glowing and humming, but you're unable to understand how it works."
123,Ancient Drum,Arch,"It's a drum made from wood and animal skin. It has a low, reverberating tone."
124,Golden Mask,Arch,"A creepy golden mask probably used in an ancient magic ritual. A socket in the forehead contains a large purple gemstone."
125,Golden Relic,Arch,"It's a golden slab with heiroglyphs and pictures emblazoned onto the front."
126,Strange Doll,Arch,"???"
127,Strange Doll,Arch,"???"
128,Pufferfish,Fish -4,"Inflates when threatened."
129,Anchovy,Fish -4,"A small silver fish found in the ocean."
130,Tuna,Fish -4,"A large fish that lives in the ocean."
131,Sardine,Fish -4,"A common ocean fish."
132,Bream,Fish -4,"A fairly common river fish that becomes active at night."
136,Largemouth Bass,Fish -4,"A popular fish that lives in lakes."
137,Smallmouth Bass,Fish -4,"A freshwater fish that is very sensitive to pollution."
138,Rainbow Trout,Fish -4,"A freshwater trout with colorful markings."
139,Salmon,Fish -4,"Swims upstream to lay its eggs."
140,Walleye,Fish -4,"A freshwater fish caught at night."
141,Perch,Fish -4,"A freshwater fish of the winter."
142,Carp,Fish -4,"A common pond fish."
143,Catfish,Fish -4,"An uncommon fish found in streams."
144,Pike,Fish -4,"A freshwater fish that's difficult to catch."
145,Sunfish,Fish -4,"A common river fish."
146,Red Mullet,Fish -4,"Long ago these were kept as pets."
147,Herring,Fish -4,"A common ocean fish."
148,Eel,Fish -4,"A long, slippery little fish."
149,Octopus,Fish -4,"A mysterious and intelligent creature."
150,Red Snapper,Fish -4,"A popular fish with a nice red color."
151,Squid,Fish -4,"A deep sea creature that can grow to enormous size."
152,Seaweed,Fish,"It can be used in cooking."
153,Green Algae,Fish,"It's really slimy."
154,Sea Cucumber,Fish -4,"A slippery, slimy creature found on the ocean floor."
155,Super Cucumber,Fish -4,"A rare, purple variety of sea cucumber."
156,Ghostfish,Fish -4,"A pale, blind fish found in underground lakes."
157,White Algae,Fish,"It's super slimy."
158,Stonefish,Fish -4,"A bizarre fish that's shaped like a brick."
159,Crimsonfish,Fish -4,"Lives deep in the ocean but likes to lay its eggs in the warm summer water."
160,Angler,Fish -4,"Uses a bioluminescent dangler to attract prey."
161,Ice Pip,Fish -4,"A rare fish that thrives in extremely cold conditions."
162,Lava Eel,Fish -4,"It can somehow survive in pools of red-hot lava."
163,Legend,Fish -4,"The king of all fish! They said he'd never be caught."
164,Sandfish,Fish -4,"It tries to hide using camouflage."
165,Scorpion Carp,Fish -4,"It's like a regular carp but with a sharp stinger."
166,Treasure Chest,Basic,"Wow, it's loaded with treasure! This is sure to fetch a good price."
167,Joja Cola,Fish -20,"The flagship product of Joja corporation."
168,Trash,Fish -20,"It's junk."
169,Driftwood,Fish -20,"A piece of wood from the sea."
170,Broken Glasses,Fish -20,"It looks like someone lost their glasses. They're busted."
171,Broken CD,Fish -20,"It's a JojaNet 2.0 trial CD. They must've made a billion of these things."
172,Soggy Newspaper,Fish -20,"This is trash."
176,Egg,Basic -5,"A regular white chicken egg."
174,Large Egg,Basic -5,"It's an uncommonly large white egg!"
178,Hay,Basic,"Dried grass used as animal food."
180,Egg,Basic -5,"A regular brown chicken egg."
182,Large Egg,Basic -5,"It's an uncommonly large brown egg!"
184,Milk,Basic -6,"A jug of cow's milk."
186,Large Milk,Basic -6,"A large jug of cow's milk."
188,Green Bean,Basic -75,"A juicy little bean with a cool, crisp snap."
190,Cauliflower,Basic -75,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
191,Ornate Necklace,Quest,"A fancy necklace found in the water outside of the bath house. It's still wet..."
192,Potato,Basic -75,"A widely cultivated tuber."
194,Fried Egg,Cooking -7,"Sunny-side up."
195,Omelet,Cooking -7,"It's super fluffy."
196,Salad,Cooking -7,"A healthy garden salad."
197,Cheese Cauliflower,Cooking -7,"It smells great!"
198,Baked Fish,Cooking -7,"Baked fish on a bed of herbs."
199,Parsnip Soup,Cooking -7,"It's fresh and hearty."
200,Vegetable Medley,Cooking -7,"This is very nutritious."
201,Complete Breakfast,Cooking -7,"You'll feel ready to take on the world!"
202,Fried Calamari,Cooking -7,"It's so chewy."
203,Strange Bun,Cooking -7,"What's inside?"
204,Lucky Lunch,Cooking -7,"A special little meal."
205,Fried Mushroom,Cooking -7,"Earthy and aromatic."
206,Pizza,Cooking -7,"It's popular for all the right reasons."
207,Bean Hotpot,Cooking -7,"It sure is healthy."
208,Glazed Yams,Cooking -7,"Sweet and satisfying... The sugar gives it a hint of caramel."
209,Carp Surprise,Cooking -7,"It's bland and oily."
210,Hashbrowns,Cooking -7,"Crispy and golden-brown!"
211,Pancakes,Cooking -7,"A double stack of fluffy, soft pancakes."
212,Salmon Dinner,Cooking -7,"The lemon spritz makes it special."
213,Fish Taco,Cooking -7,"It smells delicious."
214,Crispy Bass,Cooking -7,"Wow, the breading is perfect."
215,Pepper Poppers,Cooking -7,"Spicy breaded peppers filled with cheese."
216,Bread,Cooking -7,"A crusty baguette."
218,Tom Kha Soup,Cooking -7,"These flavors are incredible!"
219,Trout Soup,Cooking -7,"Pretty salty."
220,Chocolate Cake,Cooking -7,"Rich and moist with a thick fudge icing."
221,Pink Cake,Cooking -7,"There's little heart candies on top."
222,Rhubarb Pie,Cooking -7,"Mmm, tangy and sweet!"
223,Cookie,Cooking -7,"Very chewy."
224,Spaghetti,Cooking -7,"An old favorite."
225,Fried Eel,Cooking -7,"Greasy but flavorful."
226,Spicy Eel,Cooking -7,"It's really spicy! Be careful."
227,Sashimi,Cooking -7,"Raw fish sliced into thin pieces."
228,Maki Roll,Cooking -7,"Fish and rice wrapped in seaweed."
229,Tortilla,Cooking -7,"Can be used as a vessel for food or eaten by itself."
230,Red Plate,Cooking -7,"Full of antioxidants."
231,Eggplant Parmesan,Cooking -7,"Tangy, cheesy, and wonderful."
232,Rice Pudding,Cooking -7,"It's creamy, sweet, and fun to eat."
233,Ice Cream,Cooking -7,"It's hard to find someone who doesn't like this."
234,Blueberry Tart,Cooking -7,"It's subtle and refreshing."
235,Autumn's Bounty,Cooking -7,"A taste of the season."
236,Pumpkin Soup,Cooking -7,"A seasonal favorite."
237,Super Meal,Cooking -7,"It's a really energizing meal."
238,Cranberry Sauce,Cooking -7,"A festive treat."
239,Stuffing,Cooking -7,"Ahh... the smell of warm bread and sage."
240,Farmer's Lunch,Cooking -7,"This'll keep you going."
241,Survival Burger,Cooking -7,"A convenient snack for the explorer."
242,Dish O' The Sea,Cooking -7,"This'll keep you warm in the cold sea air."
243,Miner's Treat,Cooking -7,"This should keep your energy up."
244,Roots Platter,Cooking -7,"This'll get you digging for more."
245,Sugar,Basic,"Adds sweetness to pastries and candies. Too much can be unhealthy."
246,Wheat Flour,Basic,"A common cooking ingredient made from crushed wheat seeds."
247,Oil,Basic,"All purpose cooking oil."
248,Garlic,Basic -75,"Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy."
250,Kale,Basic -75,"The waxy leaves are great in soups and stir frys."
251,Tea Sapling,Basic -74,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!"
252,Rhubarb,Basic -79,"The stalks are extremely tart, but make a great dessert when sweetened."
253,Triple Shot Espresso,Cooking -7,"It's more potent than regular coffee!"
254,Melon,Basic -79,"A cool, sweet summer treat."
256,Tomato,Basic -75,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses."
257,Morel,Basic -81,"Sought after for its unique nutty flavor."
258,Blueberry,Basic -79,"A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration."
259,Fiddlehead Fern,Basic -75,"The young shoots are an edible specialty."
260,Hot Pepper,Basic -79,"Fiery hot with a hint of sweetness."
261,Warp Totem: Desert,Crafting,"Warp directly to Calico Desert. Consumed on use."
262,Wheat,Basic -75,"One of the most widely cultivated grains. Makes a great flour for breads and cakes."
264,Radish,Basic -75,"A crisp and refreshing root vegetable with hints of pepper when eaten raw."
266,Red Cabbage,Basic -75,"Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions."
268,Starfruit,Basic -79,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone."
270,Corn,Basic -75,"One of the most popular grains. The sweet, fresh cobs are a summer favorite."
271,Unmilled Rice,Basic -75,"Rice in its rawest form. Run this through a mill to increase the value."
272,Eggplant,Basic -75,"A rich and wholesome relative of the tomato. Delicious fried or stewed."
273,Rice Shoot,Seeds -74,"Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe."
274,Artichoke,Basic -75,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior."
275,Artifact Trove,Basic,"A blacksmith can open this for you. These troves often contain ancient relics and curiosities."
276,Pumpkin,Basic -75,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration."
277,Wilted Bouquet,Basic,"A gift that shows you want to stop dating someone."
278,Bok Choy,Basic -75,"The leafy greens and fibrous stalks are healthy and delicious."
279,Magic Rock Candy,Cooking -7,"A rare and powerful candy infused with the essence of the prismatic shard."
280,Yam,Basic -75,"A starchy tuber with a lot of culinary versatility."
281,Chanterelle,Basic -81,"A tasty mushroom with a fruity smell and slightly peppery flavor."
282,Cranberries,Basic -79,"These tart red berries are a traditional winter food."
283,Holly,Basic -81,"The leaves and bright red berries make a popular winter decoration."
284,Beet,Basic -75,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad."
286,Cherry Bomb,Crafting -8,"Generates a small explosion. Stand back!"
287,Bomb,Crafting -8,"Generates an explosion. Watch out!"
288,Mega Bomb,Crafting -8,"Generates a powerful explosion. Use with extreme caution."
290,Stone,Basic,"..."
293,Brick Floor,Crafting -24,"Place on the ground to create paths or to decorate your floors."
294,Twig,Crafting,"..."
295,Twig,Crafting,"..."
296,Salmonberry,Basic -79,"A spring-time berry with the flavor of the forest."
297,Grass Starter,Crafting,"Place this on your farm to start a new patch of grass."
298,Hardwood Fence,Crafting -8,"The most durable type of fence."
299,Amaranth Seeds,Seeds -74,"Plant these in the fall. Takes 7 days to grow. Harvest with the scythe."
300,Amaranth,Basic -75,"A purple grain cultivated by an ancient civilization."
301,Grape Starter,Seeds -74,"Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
302,Hops Starter,Seeds -74,"Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
303,Pale Ale,Basic -26,"Drink in moderation."
304,Hops,Basic -75,"A bitter, tangy flower used to flavor beer."
305,Void Egg,Basic -5,"A jet-black egg with red flecks. It's warm to the touch."
306,Mayonnaise,Basic -26,"It looks spreadable."
307,Duck Mayonnaise,Basic -26,"It's a rich, yellow mayonnaise."
308,Void Mayonnaise,Basic -26,"A thick, black paste that smells like burnt hair."
309,Acorn,Crafting -74,"This can be planted to grow an oak tree."
310,Maple Seed,Crafting -74,"This can be planted to grow a maple tree."
311,Pine Cone,Crafting -74,"This can be planted to grow a pine tree."
313,Weeds,Crafting,"..."
314,Weeds,Crafting,"..."
315,Weeds,Crafting,"..."
316,Weeds,Crafting,"..."
317,Weeds,Crafting,"..."
318,Weeds,Crafting,"..."
319,Weeds,Crafting,"..."
320,Weeds,Crafting,"..."
321,Weeds,Crafting,"..."
322,Wood Fence,Crafting -8,"Keeps grass and animals contained!"
323,Stone Fence,Crafting -8,"Lasts longer than a wood fence."
324,Iron Fence,Crafting -8,"Lasts longer than a stone fence."
325,Gate,Crafting -8,"Allows you to pass through a fence."
326,Dwarvish Translation Guide,Crafting -8,"Teaches you dwarvish."
328,Wood Floor,Crafting -24,"Place on the ground to create paths or to decorate your floors."
329,Stone Floor,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
330,Clay,Basic -16,"Used in crafting and construction."
331,Weathered Floor,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
333,Crystal Floor,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
334,Copper Bar,Basic -15,"A bar of pure copper."
335,Iron Bar,Basic -15,"A bar of pure iron."
336,Gold Bar,Basic -15,"A bar of pure gold."
337,Iridium Bar,Basic -15,"A bar of pure iridium."
338,Refined Quartz,Basic -15,"A more pure form of quartz."
340,Honey,Basic -26,"It's a sweet syrup produced by bees."
341,Tea Set,Basic -24,"Fine porcelain."
342,Pickles,Basic -26,"A jar of your home-made pickles."
343,Stone,Basic,"Stone."
344,Jelly,Basic -26,"Gooey."
346,Beer,Basic -26,"Drink in moderation."
347,Rare Seed,Seeds -74,"Sow in fall. Takes all season to grow."
348,Wine,Basic -26,"Drink in moderation."
349,Energy Tonic,Crafting,"Restores a lot of energy."
350,Juice,Basic -26,"A sweet, nutritious beverage."
351,Muscle Remedy,Crafting,"When you've pushed your body too hard, drink this to remove 'Exhaustion'."
368,Basic Fertilizer,Basic -19,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil."
369,Quality Fertilizer,Basic -19,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil."
370,Basic Retaining Soil,Basic -19,"This soil has a chance of staying watered overnight. Mix into tilled soil."
371,Quality Retaining Soil,Basic -19,"This soil has a good chance of staying watered overnight. Mix into tilled soil."
372,Clam,Basic -23,"Someone lived here once."
373,Golden Pumpkin,Basic,"It's valuable but has no other purpose."
378,Copper Ore,Basic -15,"A common ore that can be smelted into bars."
380,Iron Ore,Basic -15,"A fairly common ore that can be smelted into bars."
382,Coal,Basic -15,"A combustible rock that is useful for crafting and smelting."
384,Gold Ore,Basic -15,"A precious ore that can be smelted into bars."
386,Iridium Ore,Basic -15,"An exotic ore with many curious properties. Can be smelted into bars."
388,Wood,Basic -16,"A sturdy, yet flexible plant material with a wide variety of uses."
390,Stone,Basic -16,"A common material with many uses in crafting and building."
392,Nautilus Shell,Basic -23,"An ancient shell."
393,Coral,Basic -23,"A colony of tiny creatures that clump together to form beautiful structures."
394,Rainbow Shell,Basic -23,"It's a very beautiful shell."
395,Coffee,Crafting,"It smells delicious. This is sure to give you a boost."
396,Spice Berry,Basic -79,"It fills the air with a pungent aroma."
397,Sea Urchin,Basic -23,"A slow-moving, spiny creature that some consider a delicacy."
398,Grape,Basic -79,"A sweet cluster of fruit."
399,Spring Onion,Basic -81,"These grow wild during the spring."
400,Strawberry,Basic -79,"A sweet, juicy favorite with an appealing red color."
401,Straw Floor,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
402,Sweet Pea,Basic -80,"A fragrant summer flower."
403,Field Snack,Crafting,"A quick snack to fuel the hungry forager."
404,Common Mushroom,Basic -81,"Slightly nutty, with good texture."
405,Wood Path,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
406,Wild Plum,Basic -79,"Tart and juicy with a pungent aroma."
407,Gravel Path,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
408,Hazelnut,Basic -81,"That's one big hazelnut!"
409,Crystal Path,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
410,Blackberry,Basic -79,"An early-fall treat."
411,Cobblestone Path,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
412,Winter Root,Basic -81,"A starchy tuber."
413,Blue Slime Egg,Basic,"Can be hatched in a slime incubator."
414,Crystal Fruit,Basic -79,"A delicate fruit that pops up from the snow."
415,Stepping Stone Path,Crafting -24,"Place on the ground to create paths or to spruce up your floors."
416,Snow Yam,Basic -81,"This little yam was hiding beneath the snow."
417,Sweet Gem Berry,Basic -17,"It's by far the sweetest thing you've ever smelled."
418,Crocus,Basic -80,"A flower that can bloom in the winter."
419,Vinegar,Basic,"An aged fermented liquid used in many cooking recipes."
420,Red Mushroom,Basic -81,"A spotted mushroom sometimes found in caves."
421,Sunflower,Basic -80,"A common misconception is that the flower turns so it's always facing the sun."
422,Purple Mushroom,Basic -81,"A rare mushroom found deep in caves."
423,Rice,Basic,"A basic grain often served under vegetables."
424,Cheese,Basic -26,"It's your basic cheese."
426,Goat Cheese,Basic -26,"Soft cheese made from goat's milk."
428,Cloth,Basic -26,"A bolt of fine wool cloth."
430,Truffle,Basic -17,"A gourmet type of mushroom with a unique taste."
432,Truffle Oil,Basic -26,"A gourmet cooking ingredient."
433,Coffee Bean,Seeds -74,"Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee."
434,Stardrop,Crafting,"A mysterious fruit that empowers those who eat it. The flavor is like a dream... a powerful personal experience, yet difficult to describe to others."
436,Goat Milk,Basic -6,"The milk of a goat."
437,Red Slime Egg,Basic,"Can be hatched in a slime incubator."
438,L. Goat Milk,Basic -6,"A gallon of creamy goat's milk."
439,Purple Slime Egg,Basic,"Can be hatched in a slime incubator."
440,Wool,Basic -18,"Soft, fluffy wool."
441,Explosive Ammo,Basic,"Fire this with the slingshot."
442,Duck Egg,Basic -5,"It's still warm."
444,Duck Feather,Basic -18,"It's so colorful."
446,Rabbit's Foot,Basic -18,"Some say it's lucky."
447,Aged Roe,Basic -26,"Fish eggs aged in salt to bring out the flavor."
449,Stone Base,asdf,"A simple block of stone."
450,Stone,asdf,"Stone."
452,Weeds,asdf,"A cluster of dry old bushes."
454,Ancient Fruit,Basic -79,"It's been dormant for eons."
456,Algae Soup,Cooking -7,"It's a little slimy."
457,Pale Broth,Cooking -7,"A delicate broth with a hint of sulfur."
458,Bouquet,Basic,"A gift that shows your romantic interest."
459,Mead,Basic -26,"A fermented beverage made from honey. Drink in moderation."
460,Mermaid's Pendant,Basic,"Give this to the person you want to marry."
461,Decorative Pot,Crafting,"A replica of an ancient pot."
463,Drum Block,Crafting,"Plays a drum sound when you walk past."
464,Flute Block,Crafting,"Plays a flute sound when you walk past."
465,Speed-Gro,Basic -19,"Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil."
466,Deluxe Speed-Gro,Basic -19,"Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil."
472,Parsnip Seeds,Seeds -74,"Plant these in the spring. Takes 4 days to mature."
473,Bean Starter,Seeds -74,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis."
474,Cauliflower Seeds,Seeds -74,"Plant these in the spring. Takes 12 days to produce a large cauliflower."
475,Potato Seeds,Seeds -74,"Plant these in the spring. Takes 6 days to mature, and has a chance of yielding multiple potatoes at harvest."
476,Garlic Seeds,Seeds -74,"Plant these in the spring. Takes 4 days to mature."
477,Kale Seeds,Seeds -74,"Plant these in the spring. Takes 6 days to mature. Harvest with the scythe."
478,Rhubarb Seeds,Seeds -74,"Plant these in the spring. Takes 13 days to mature."
479,Melon Seeds,Seeds -74,"Plant these in the summer. Takes 12 days to mature."
480,Tomato Seeds,Seeds -74,"Plant these in the summer. Takes 11 days to mature, and continues to produce after first harvest."
481,Blueberry Seeds,Seeds -74,"Plant these in the summer. Takes 13 days to mature, and continues to produce after first harvest."
482,Pepper Seeds,Seeds -74,"Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest."
483,Wheat Seeds,Seeds -74,"Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe."
484,Radish Seeds,Seeds -74,"Plant these in the summer. Takes 6 days to mature."
485,Red Cabbage Seeds,Seeds -74,"Plant these in the summer. Takes 9 days to mature."
486,Starfruit Seeds,Seeds -74,"Plant these in the summer. Takes 13 days to mature."
487,Corn Seeds,Seeds -74,"Plant these in the summer or fall. Takes 14 days to mature, and continues to produce after first harvest."
488,Eggplant Seeds,Seeds -74,"Plant these in the fall. Takes 5 days to mature, and continues to produce after first harvest."
489,Artichoke Seeds,Seeds -74,"Plant these in the fall. Takes 8 days to mature."
490,Pumpkin Seeds,Seeds -74,"Plant these in the fall. Takes 13 days to mature."
491,Bok Choy Seeds,Seeds -74,"Plant these in the fall. Takes 4 days to mature."
492,Yam Seeds,Seeds -74,"Plant these in the fall. Takes 10 days to mature."
493,Cranberry Seeds,Seeds -74,"Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest."
494,Beet Seeds,Seeds -74,"Plant these in the fall. Takes 6 days to mature."
495,Spring Seeds,Seeds -74,"An assortment of wild spring seeds."
496,Summer Seeds,Seeds -74,"An assortment of wild summer seeds."
